File mappings for integration of Perl 5.6.1 into Solaris 9,,,,,,,,,
"Version 6, 30/05/2001",,,,,,,,,
,,,,,,,,,
./ext/Fcntl/,Makefile.PL,X,distrib,X,distrib,
./ext/Fcntl/,pm_to_blib,X,,X,delete,
./ext/File/Glob/,Changes,,,X,delete,X
./ext/File/Glob/,Glob.bs,,,X,delete,X
./ext/File/Glob/,Glob.c,,,X,delete,X
./ext/File/Glob/,Glob.pm,,,X,distrib,X
./ext/File/Glob/,Glob.xs,,,X,distrib,X
./ext/File/Glob/,Makefile,,,X,delete,X
./ext/File/Glob/,Makefile.PL,,,X,distrib,X
./ext/File/Glob/,TODO,,,X,delete,X
./ext/File/Glob/,bsd_glob.c,,,X,distrib,X
./ext/File/Glob/,bsd_glob.h,,,X,distrib,X
./ext/File/Glob/,pm_to_blib,,,X,delete,X
./ext/GDBM_File/,GDBM_File.pm,X,distrib,X,distrib,
./ext/GDBM_File/,GDBM_File.xs,X,distrib,X,distrib,
./ext/GDBM_File/,Makefile.PL,X,distrib,X,distrib,
./ext/GDBM_File/,typemap,X,distrib,X,distrib,
./ext/GDBM_File/hints/,sco.pl,X,distrib,X,delete,
./ext/IO/,ChangeLog,,,X,delete,X
./ext/IO/,IO.bs,X,,X,delete,
./ext/IO/,IO.c,X,,X,delete,
./ext/IO/,IO.pm,X,distrib,X,distrib,
./ext/IO/,IO.xs,X,distrib,X,distrib,
./ext/IO/,Makefile,X,,X,delete,
./ext/IO/,Makefile.PL,X,distrib,X,distrib,
./ext/IO/,README,X,distrib,X,delete,
./ext/IO/,pm_to_blib,X,,X,delete,
./ext/IO/,poll.c,,,X,delete,X
./ext/IO/,poll.h,,,X,delete,X
./ext/IO/lib/IO/,Dir.pm,,,X,distrib,X
./ext/IO/lib/IO/,File.pm,X,distrib,X,distrib,
./ext/IO/lib/IO/,Handle.pm,X,distrib,X,distrib,
./ext/IO/lib/IO/,Pipe.pm,X,distrib,X,distrib,
./ext/IO/lib/IO/,Poll.pm,,,X,distrib,X
./ext/IO/lib/IO/,Seekable.pm,X,distrib,X,distrib,
./ext/IO/lib/IO/,Select.pm,X,distrib,X,distrib,
./ext/IO/lib/IO/,Socket.pm,X,distrib,X,distrib,
./ext/IO/lib/IO/Socket/,INET.pm,,,X,distrib,X
./ext/IO/lib/IO/Socket/,UNIX.pm,,,X,distrib,X
./ext/IPC/SysV/,ChangeLog,X,distrib,X,delete,
./ext/IPC/SysV/,MANIFEST,X,distrib,X,delete,
./ext/IPC/SysV/,Makefile,X,,X,delete,
./ext/IPC/SysV/,Makefile.PL,X,distrib,X,distrib,
./ext/IPC/SysV/,Msg.pm,X,distrib,X,distrib,
./ext/IPC/SysV/,README,X,distrib,X,delete,
./ext/IPC/SysV/,Semaphore.pm,X,distrib,X,distrib,
./ext/IPC/SysV/,SysV.bs,X,,X,delete,
./ext/IPC/SysV/,SysV.c,X,,X,delete,
./ext/IPC/SysV/,SysV.pm,X,distrib,X,distrib,
./ext/IPC/SysV/,SysV.xs,X,distrib,X,distrib,
./ext/IPC/SysV/,pm_to_blib,X,,X,delete,
./ext/IPC/SysV/hints/,cygwin.pl,,,X,delete,X
./ext/IPC/SysV/hints/,next_3.pl,,,X,delete,X
./ext/IPC/SysV/t/,msg.t,X,distrib,X,distrib,
./ext/IPC/SysV/t/,sem.t,X,distrib,X,distrib,
./ext/NDBM_File/,Makefile,X,,X,delete,
./ext/NDBM_File/,Makefile.PL,X,distrib,X,distrib,
./ext/NDBM_File/,NDBM_File.bs,X,,X,delete,
./ext/NDBM_File/,NDBM_File.c,X,,X,delete,
./ext/NDBM_File/,NDBM_File.pm,X,distrib,X,distrib,
./ext/NDBM_File/,NDBM_File.xs,X,distrib,X,distrib,
./ext/NDBM_File/,pm_to_blib,X,,X,delete,
./ext/NDBM_File/,typemap,X,distrib,X,distrib,
./ext/NDBM_File/hints/,cygwin.pl,,,X,delete,X
./ext/NDBM_File/hints/,dec_osf.pl,X,distrib,X,delete,
./ext/NDBM_File/hints/,dynixptx.pl,X,distrib,X,delete,
./ext/NDBM_File/hints/,sco.pl,,,X,delete,X
./ext/NDBM_File/hints/,solaris.pl,X,distrib,X,distrib,
./ext/NDBM_File/hints/,svr4.pl,X,distrib,X,delete,
./ext/ODBM_File/,Makefile,X,,X,delete,
./ext/ODBM_File/,Makefile.PL,X,distrib,X,distrib,
./ext/ODBM_File/,ODBM_File.bs,X,,X,delete,
./ext/ODBM_File/,ODBM_File.c,X,,X,delete,
./ext/ODBM_File/,ODBM_File.pm,X,distrib,X,distrib,
./ext/ODBM_File/,ODBM_File.xs,X,distrib,X,distrib,
./ext/ODBM_File/,pm_to_blib,X,,X,delete,
./ext/ODBM_File/,typemap,X,distrib,X,distrib,
